time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1640995200,0.0002718832588213456,0.0002718832588213456,0.0002681296918299044,0.00026851479644103283,0.0002718832588213456,0.0002718832588213456,0.0002681296918299044,0.00026851479644103283,750406.086833,NaN,NaN,NaN,NaN,NaN,NaN
1640998800,0.0002685108185704252,0.0002690098887885637,0.00026708648544041365,0.00026849506270491146,0.0002685108185704252,0.0002690098887885637,0.00026708648544041365,0.00026849506270491146,1141843.706972,NaN,NaN,NaN,NaN,NaN,-1141843.706972
1641002400,0.00026860395651934525,0.00026860395651934525,0.000267902800503953,0.0002681503914632136,0.00026860395651934525,0.00026860395651934525,0.000267902800503953,0.0002681503914632136,401504.18984699994,NaN,NaN,NaN,NaN,NaN,-1543347.896819
1641006000,0.0002681523956723383,0.00026845501481695644,0.0002679374598020519,0.0002684009005256549,0.0002681523956723383,0.00026845501481695644,0.0002679374598020519,0.0002684009005256549,254986.392452,NaN,NaN,NaN,NaN,NaN,-1288361.504367
1641009600,0.00026842996429662084,0.0002695577697037543,0.00026840979773853864,0.0002695577697037543,0.00026842996429662084,0.0002695577697037543,0.00026840979773853864,0.0002695577697037543,469551.884844,NaN,NaN,NaN,NaN,NaN,-818809.619523
1641013200,0.00026955654514947694,0.0002698155517324855,0.00026620773937077757,0.00026776428002569207,0.00026955654514947694,0.0002698155517324855,0.00026620773937077757,0.00026776428002569207,872520.5996810001,NaN,NaN,NaN,NaN,NaN,-1691330.2192040002
1641016800,0.00026778401293272463,0.0002692548473076336,0.00026759651126483276,0.00026925392630741733,0.00026778401293272463,0.0002692548473076336,0.00026759651126483276,0.00026925392630741733,854387.1816029999,NaN,NaN,NaN,NaN,NaN,-836943.0376010003
1641020400,0.0002692539066279771,0.0002699180541442017,0.00026875507087090173,0.0002690983195908435,0.0002692539066279771,0.0002699180541442017,0.00026875507087090173,0.0002690983195908435,616110.187656,NaN,NaN,NaN,NaN,NaN,-1453053.2252570004
1641024000,0.0002691269283145077,0.00026941523032998285,0.0002681820561671169,0.0002687757516708592,0.0002691269283145077,0.00026941523032998285,0.0002681820561671169,0.0002687757516708592,522074.98325099994,NaN,NaN,NaN,NaN,NaN,-1975128.2085080002
1641027600,0.00026877968433045,0.0002695175345455828,0.00026847008191295107,0.0002692816153161447,0.00026877968433045,0.0002695175345455828,0.00026847008191295107,0.0002692816153161447,355646.358297,NaN,NaN,NaN,NaN,NaN,-1619481.8502110003
1641031200,0.0002692196282132118,0.00027176917858992474,0.00026853511844777847,0.00027072031764248345,0.0002692196282132118,0.00027176917858992474,0.00026853511844777847,0.00027072031764248345,959541.8213760001,NaN,NaN,NaN,NaN,NaN,-659940.0288350002
1641034800,0.0002707197661889406,0.0002707197661889406,0.00026961939983337764,0.0002705394996727292,0.0002707197661889406,0.0002707197661889406,0.00026961939983337764,0.0002705394996727292,423290.96070399997,NaN,NaN,NaN,NaN,NaN,-1083230.9895390002
1641038400,0.0002705772455740319,0.0002708755873410842,0.0002693485393940459,0.00026934892748530116,0.0002705772455740319,0.0002708755873410842,0.0002693485393940459,0.00026934892748530116,482311.476885,NaN,NaN,NaN,NaN,NaN,-1565542.4664240002
1641042000,0.0002693430226926951,0.0002696100316224464,0.0002689349076423308,0.00026960965711511804,0.0002693430226926951,0.0002696100316224464,0.0002689349076423308,0.00026960965711511804,417387.80946899997,NaN,NaN,NaN,NaN,NaN,-1148154.6569550002
1641045600,0.0002696107872983222,0.00027049927250315925,0.00026952826974131403,0.00027026325693702295,0.0002696107872983222,0.00027049927250315925,0.00026952826974131403,0.00027026325693702295,387451.4019,NaN,58.95417675176921,NaN,NaN,NaN,-760703.2550550003
1641049200,0.00027029500735626695,0.00027082089792177606,0.0002672602091873354,0.0002684832652991852,0.00027029500735626695,0.00027082089792177606,0.0002672602091873354,0.0002684832652991852,946269.9234949999,NaN,49.27889835984445,NaN,NaN,NaN,-1706973.1785500003
