timestamp,open,high,low,close,volume
2022-05-02 00:00:00,2824.81,2849.68,2822.59,2841.41,1791290.175071
2022-05-02 01:00:00,2841.66,2848.22,2833.04,2834.21,540085.953915
2022-05-02 02:00:00,2834.21,2841.0,2829.01,2839.15,716632.3816300001
2022-05-02 03:00:00,2839.15,2846.21,2835.0,2840.72,577000.161784
2022-05-02 04:00:00,2840.72,2865.83,2832.1,2856.81,1076819.483507
2022-05-02 05:00:00,2856.82,2867.21,2849.41,2861.27,634769.849564
2022-05-02 06:00:00,2861.27,2874.59,2856.35,2857.66,1018347.698621
2022-05-02 07:00:00,2857.66,2865.72,2841.1,2845.26,1343239.843298
2022-05-02 08:00:00,2845.26,2855.86,2832.18,2838.83,1306077.589809
2022-05-02 09:00:00,2838.83,2848.69,2807.64,2810.42,1441009.957754
2022-05-02 10:00:00,2810.43,2819.76,2802.44,2806.14,978078.074413
2022-05-02 11:00:00,2806.13,2809.67,2789.63,2795.05,1113678.303157
2022-05-02 12:00:00,2795.05,2811.47,2789.28,2795.57,1542311.0800470002
2022-05-02 13:00:00,2795.54,2845.1,2778.78,2829.25,6743392.668981001
2022-05-02 14:00:00,2829.25,2852.53,2805.23,2828.0,3496716.449313
2022-05-02 15:00:00,2827.99,2835.49,2814.1,2827.68,2215682.537435
2022-05-02 16:00:00,2827.68,2836.49,2806.24,2809.0,2397738.1719349995
2022-05-02 17:00:00,2809.0,2811.66,2784.24,2797.27,2275237.722046
2022-05-02 18:00:00,2797.26,2810.06,2780.0,2801.0,2645894.454796
2022-05-02 19:00:00,2800.99,2850.0,2795.55,2841.71,2273756.07273
2022-05-02 20:00:00,2841.72,2847.64,2825.99,2826.99,829759.6219899999
2022-05-02 21:00:00,2827.0,2869.39,2824.08,2866.14,1122177.782957
2022-05-02 22:00:00,2866.14,2894.22,2860.94,2861.91,623468.295399
2022-05-02 23:00:00,2861.91,2874.48,2851.2,2856.54,858274.131609
2022-05-03 00:00:00,2856.54,2861.47,2836.12,2836.91,747957.820552
2022-05-03 01:00:00,2836.91,2845.47,2830.27,2844.99,544686.061826
2022-05-03 02:00:00,2844.99,2853.13,2828.65,2839.99,1036295.595521
2022-05-03 03:00:00,2840.0,2856.33,2839.01,2851.0,690659.725816
2022-05-03 04:00:00,2851.0,2855.07,2843.93,2849.13,382669.635357
2022-05-03 05:00:00,2849.12,2849.36,2829.9,2844.09,845754.9450969999
2022-05-03 06:00:00,2844.09,2848.73,2836.93,2840.3,902325.6344690002
2022-05-03 07:00:00,2840.29,2847.84,2835.1,2844.98,622612.872926
2022-05-03 08:00:00,2844.98,2854.12,2843.72,2844.77,473234.28969
2022-05-03 09:00:00,2844.77,2846.74,2832.7,2833.71,473505.455476
2022-05-03 10:00:00,2833.71,2835.1,2824.0,2830.54,669150.6943529999
2022-05-03 11:00:00,2830.54,2849.6,2825.0,2849.01,823056.600432
2022-05-03 12:00:00,2849.01,2850.81,2835.76,2837.77,549176.464687
2022-05-03 13:00:00,2837.77,2842.57,2815.31,2834.32,2097074.098268
2022-05-03 14:00:00,2834.33,2847.61,2817.3,2822.3,1457795.543225
